order_id,customer_id,order_date,order_amount,status
7f71cfc8-fb06-4df3-94e9-f563a569596f,cust-1,NOT-A-DATE,211.08,pending
42b2ef5a-7f05-4112-a682-69e52c205866,cust-2,2026-04-16T16:19:03.247Z,247.05,processing
e7e9abe4-1f88-4482-8b14-c1248edc17a6,cust-3,2026-07-01T17:25:58.395Z,164.13,shipped
7dfb1cef-5b3d-4bc3-a1ca-6dfacd88a29e,cust-4,2026-04-01T00:35:35.083Z,149.36,delivered
6b82d05f-b318-486c-ba92-0f0f7918a92c,cust-5,2026-06-10T08:37:42.086Z,472.92,cancelled
56a495ec-dfd8-4b24-9818-24019224baa8,cust-6,2026-03-14T13:02:13.500Z,226.13,refunded
4874b001-afe7-4c3d-b22a-73ee1098a48a,cust-7,2026-05-26T21:31:53.707Z,106.43,pending
84f278b3-bff3-4db9-b9a7-3c6f297023c2,cust-8,2026-05-23T02:03:31.840Z,145.00,processing
c7b5ca56-bca3-43b1-9aab-8a7f2a743642,cust-9,2026-06-19T18:45:17.821Z,228.67,shipped
43b5f24d-9efa-46b0-b4f9-e3760abeff61,cust-10,2026-04-05T16:00:26.579Z,459.42,delivered
5c62774a-f1a6-4d28-a3a2-f2d7f886f0b1,cust-11,2026-05-16T23:22:55.446Z,267.11,cancelled
ea7dd0db-09c7-4757-83f1-c41a4b7a7ee5,cust-12,2026-03-24T21:20:06.689Z,347.74,refunded
f2488f38-fb97-4b08-84d9-e30d40f0068d,cust-13,2026-05-26T08:31:03.023Z,287.74,pending
a343aaf6-a094-4297-b31e-bfa5ff9146e8,cust-14,2026-05-28T14:14:57.307Z,263.76,processing
3c96b49e-2910-40ef-81ff-f8bf1010d2bc,cust-15,2026-04-19T20:06:21.244Z,82.77,shipped
e6eb3f17-2023-450b-a4cc-79301858ace9,cust-16,2026-05-15T08:05:34.087Z,41.46,delivered
e9e3fb32-8ae9-4390-900f-c335e56e5875,cust-17,2026-05-05T20:56:55.485Z,77.59,cancelled
cbc064fb-14ff-4eb5-b786-f4753689679a,cust-18,2026-07-01T12:58:02.074Z,375.75,refunded
c9ca0494-d614-4f12-8a84-0ee8b8003d21,cust-19,2026-05-23T06:53:39.542Z,491.80,pending
549494da-acfa-4d82-81b2-c2e3535fbcd4,cust-20,2026-04-17T13:39:06.816Z,206.03,processing
a37ddf5e-16d0-4585-a323-a737c442a1e9,cust-21,2026-06-10T16:33:59.796Z,255.06,shipped
88681dd7-69be-493c-9189-428cd57fbc9e,cust-22,2026-07-04T02:38:59.083Z,20.13,delivered
63713a3d-9574-4e71-a9d8-c5e192925048,cust-23,2026-06-22T04:41:45.646Z,5.61,cancelled
06c380de-9500-4eac-91b6-6313eeede663,cust-24,2026-03-26T18:13:28.282Z,443.61,refunded
97a616cd-9778-4102-9033-6534693d4e32,cust-25,2026-06-17T11:19:06.110Z,281.77,pending
50ffdd84-7362-4619-9d8f-4e73b6b1bacd,cust-26,2026-06-09T14:20:22.977Z,405.49,processing
f4e381be-1a1f-447e-bb00-e94b49e1e96b,cust-27,2026-04-03T23:50:58.349Z,155.17,shipped
20ce5c4d-d8f3-4758-ac00-c807b702b8cc,cust-28,2026-06-17T15:51:58.885Z,494.07,delivered
6a6a7267-5389-4075-aaf1-fdb0c7363860,cust-29,2026-05-12T18:03:52.690Z,289.29,cancelled
5aa489c1-9765-40fc-942c-9bcb10812d01,cust-30,2026-04-02T15:08:37.743Z,487.96,refunded
9fbc0c50-b6a1-4a31-9047-c5d1091ada88,cust-31,2026-05-25T05:11:14.347Z,270.05,pending
c63740ba-b4e2-4778-93ea-ea55eef34183,cust-32,2026-05-22T19:57:09.283Z,289.25,processing
9b1ead84-a313-4c58-b850-5e51e7baac2d,cust-33,2026-03-17T04:55:00.207Z,139.89,shipped
253c2dd0-bb2e-40f3-85f0-178441f205d1,cust-34,2026-05-22T08:27:28.924Z,453.94,delivered
4abf006a-2ba4-4217-8709-76d253d4992d,cust-35,2026-03-17T19:16:35.145Z,273.53,cancelled
66a0181d-48bf-400f-9968-b564865314c9,cust-36,2026-05-19T21:05:31.482Z,442.67,refunded
9c9eb516-5554-420e-8bc7-112674a0c995,cust-37,2026-05-18T14:35:23.291Z,348.93,pending
0c37cfb3-7d4c-415d-9b59-d9853a7d7862,cust-38,2026-06-24T13:30:00.023Z,355.76,processing
b507641c-5fe5-4883-8acf-85945f61865b,cust-39,2026-05-31T12:16:07.343Z,157.94,shipped
97f2367e-b5ab-40fa-84e0-7820c8e74635,cust-40,2026-04-02T09:12:53.728Z,246.62,delivered
01a4fd5c-5b32-441f-9ac6-0fced4e433e6,cust-41,2026-05-01T21:57:09.929Z,56.67,cancelled
e720b4ab-956a-4788-aaca-8faedb151b7c,cust-42,2026-05-25T11:06:46.413Z,314.21,refunded
f278538b-dd08-48c9-b643-be2e7a1c36d5,cust-43,2026-05-21T04:42:12.839Z,215.87,pending
874f4249-2a96-4832-a75b-b05210ef1c52,cust-44,2026-04-28T22:44:01.307Z,37.42,processing
42c3bdbc-118b-43f4-aafd-8dd57cd63e43,cust-45,2026-04-10T08:32:29.031Z,435.00,shipped
e7c89058-60de-4e5c-b93d-5f784b856535,cust-46,2026-05-10T21:53:47.256Z,289.89,delivered
4957d66e-49d3-4446-ba91-e35e1e3d7198,cust-47,2026-04-25T17:04:44.968Z,240.01,cancelled
abb1b6d0-c8ef-4b42-90c4-ec888d6bc5ab,cust-48,2026-03-24T09:55:22.409Z,261.36,refunded
8af40d43-acab-4298-981a-cc040db8d754,cust-49,2026-04-14T15:25:00.579Z,276.81,pending
2b3069e6-16d1-45b3-8a78-82d75e47228e,cust-50,2026-04-30T16:00:17.712Z,54.75,processing
5047aae4-a663-4e48-942a-a8dff1de5aa7,cust-51,2026-03-17T04:54:18.186Z,63.38,shipped
5c6d0cc2-600e-445e-b50e-05984f49e30f,cust-52,2026-03-23T06:59:00.639Z,240.28,delivered
86a5a78c-d2dd-4abb-a1ac-75033be6a649,cust-53,2026-06-21T10:09:35.331Z,163.91,cancelled
aa038a9c-b93b-4a79-9d2e-56b69d4baf5f,cust-54,2026-05-05T22:20:40.360Z,283.34,refunded
3d526f83-f1b8-49d2-8306-0c42d964390c,cust-55,2026-07-03T07:48:15.464Z,398.59,pending
3180fb71-b1e0-4c8c-906d-ad1218c2f34e,cust-56,2026-03-19T14:16:38.118Z,313.49,processing
7d38fd69-e2f7-4d0d-bd2a-d2d642c4a75b,cust-57,2026-06-05T04:46:33.852Z,264.12,shipped
2877b878-b5f3-4fa5-b393-d523be9fb931,cust-58,2026-04-06T18:25:07.389Z,103.65,delivered
a779d7e6-4cc3-4ac8-bcc2-cf80d365182a,cust-59,2026-05-07T12:23:58.485Z,193.02,cancelled
a2a9a078-29b0-4bc2-8b19-b69c5c25a05f,cust-60,2026-06-04T04:37:27.868Z,8.00,refunded
ba046f08-8265-4813-831f-87874df91587,cust-61,2026-04-15T18:58:13.287Z,295.48,pending
3f08782e-3b59-4fa2-823e-dd8dacbc91b3,cust-62,2026-06-25T17:45:12.428Z,195.10,processing
1a5d991b-966c-4460-91c8-7c686ead2ca6,cust-63,2026-06-20T00:24:49.240Z,236.59,shipped
110ad98c-92e1-4626-b559-7d68484ec328,cust-64,2026-04-18T18:24:05.790Z,252.94,delivered
206f9e29-fdc7-469a-bd72-6c5202fa25a7,cust-65,2026-06-22T22:01:04.295Z,276.07,cancelled
a646084a-5ab1-4a85-8894-bdb540a26f42,cust-66,2026-04-21T03:26:11.418Z,428.53,refunded
965bfaa5-ee0d-4708-8dda-41eb94283bc2,cust-67,2026-05-30T07:21:09.872Z,225.65,pending
171b360d-e5c2-49d5-9e56-45085f4bc556,cust-68,2026-05-15T01:25:22.441Z,159.42,processing
845cdafc-2421-44ae-8ec2-be1d7a6d31c4,cust-69,2026-05-15T19:34:03.162Z,10.32,shipped
d35ab8dd-3b62-4ce4-be70-1dcbb1e5d4bf,cust-70,2026-05-28T04:35:51.794Z,388.28,delivered
a37adef9-0b0f-46ab-b1c3-fd8c70080452,cust-71,2026-07-03T09:53:26.217Z,126.59,cancelled
1045cc31-ae50-4e97-afd9-7c73acbd8948,cust-72,2026-03-13T11:19:08.961Z,158.03,refunded
ab99ffc9-1da1-4124-9448-1cc6f7445721,cust-73,2026-05-03T05:10:15.820Z,211.89,pending
0071f444-96c4-4239-9027-5bf62bbe7e50,cust-74,2026-06-10T20:37:56.460Z,404.26,processing
2977c30f-c075-47eb-9bd3-3dfc77883e96,cust-75,2026-04-08T13:09:37.715Z,71.72,shipped
004fc992-683a-45f3-b3dc-e503f445f17d,cust-76,2026-05-21T13:47:58.530Z,217.11,delivered
7cadeb75-be01-47cc-824d-300ca076a4c2,cust-77,2026-06-13T15:18:39.498Z,445.54,cancelled
a6d397ca-aab0-4a88-ae29-1d1a2748c368,cust-78,2026-05-14T22:56:42.808Z,211.93,refunded
bd3f537c-8f90-4c62-b53c-7b8bc17097b5,cust-79,2026-06-18T08:32:46.390Z,494.04,pending
dbf53c45-7d03-4500-b4e6-5152e8e2367c,cust-80,2026-06-24T19:35:24.952Z,436.10,processing
0da7debe-f757-44fc-a31a-553764a4c333,cust-81,2026-05-09T17:19:33.970Z,299.09,shipped
568a5b8c-d74b-4f14-bfef-c6918b2bdaf5,cust-82,2026-05-15T08:17:58.357Z,277.51,delivered
1de294f8-af48-48bc-a13d-ef18dc10739d,cust-83,2026-05-13T09:23:59.823Z,12.87,cancelled
97b49582-c2f5-468b-9c7b-2cddc8ade848,cust-84,2026-06-11T12:22:53.045Z,367.60,refunded
fc8361a0-3d0a-479f-ab8d-f3be284f868f,cust-85,2026-07-03T17:56:33.185Z,371.25,pending
3f6671e0-8854-4957-8cc6-34cbf46984b8,cust-86,2026-05-28T05:56:39.203Z,116.31,processing
cc9f42e7-5640-41eb-b954-00c653297970,cust-87,2026-05-19T20:16:13.953Z,497.46,shipped
c1f075d4-dd33-43f7-9db0-d5f3184a6cea,cust-88,2026-06-30T11:36:29.288Z,374.07,delivered
3471385d-59e0-4a0e-98af-4e96154f8c84,cust-89,2026-06-19T04:56:43.530Z,352.41,cancelled
ff70136e-f019-45b5-bf45-7ef50a7429c3,cust-90,2026-04-23T16:16:45.547Z,294.65,refunded
